Olho| Deslocamento| Tempo(s)
E 195.39183652602185 160.36466789245605
E 197.50894939074567 160.46551203727722
E 196.57347610007167 160.46558046340942
D 99.3136516016899 160.57617354393005
E 196.9686840485597 160.57737708091736
E 196.84361257244058 160.57749485969543
D 99.3955608741018 160.68836736679077
D 100.13749472203733 160.68844079971313
E 195.05232213863204 160.68970441818237
D 99.66017012535967 160.79280257225037
D 99.8314934986758 160.7928786277771
E 195.95524173270564 160.79404759407043
E 195.40608371434593 160.79411578178406
D 92.90271428272052 160.90685749053955
D 93.85646353793348 161.35441851615906
E 189.567208567105 161.67304158210754
E 190.65953716767993 161.78140878677368
D 91.63826249662425 161.8938853740692
E 189.88281023973911 162.01070880889893
E 189.5753512206631 162.01078629493713
E 189.70140474360883 162.11246252059937
D 81.72667863066503 162.2278344631195
E 189.5458749075051 162.33371257781982
D 93.5989199129597 162.33490371704102
D 96.47229476243382 162.4453148841858
E 192.6916179242617 162.4466106891632
E 192.13563324957363 162.4467067718506
E 196.81841644258458 162.5549042224884
E 196.01656955624716 162.55498552322388
D 100.36561960027228 162.55636548995972
D 92.8561538928067 162.66278719902039
D 93.46051457336678 162.66285610198975
E 190.0603239437 162.66426038742065
E 188.79317164181325 162.66436886787415
D 90.31259441599659 162.88829565048218
D 90.82325665145608 162.88839626312256
E 189.62298820430357 162.8897249698639
E 194.62222613112402 162.99658250808716
E 191.06670478068958 162.99669981002808
D 93.00683603346114 163.10690450668335
D 93.18993915789088 163.1070520877838
E 189.61723926533332 163.10885334014893
D 96.98857698284816 163.2183496952057
E 194.43739550044432 163.21997785568237
E 192.27802256267472 163.22007131576538
D 88.94405511169144 163.32259464263916
E 188.92826895117994 163.3237578868866
E 185.40797233749015 163.3238275051117
E 185.8066787245583 163.43526458740234
D 95.47831313051816 163.54781317710876
E 189.82881668222996 163.54916787147522
D 90.06779156600348 163.65935969352722
E 184.0584020679214 163.66055583953857
E 185.5343875127295 163.8778100013733
E 184.83768777526046 163.99201560020447
E 181.84312091545777 164.09692907333374
E 181.22388214912868 164.0969967842102
D 86.68180475524615 164.20386505126953
E 180.48742761127698 164.32207775115967
E 179.70718427182914 164.32216238975525
E 179.96176461406856 164.4262764453888
E 176.97330081316582 164.53742909431458
E 175.34928870583386 164.75882959365845
E 193.42508982464372 165.08855748176575
D 94.98658700443183 165.2034206390381
E 194.55970629256942 165.52709794044495
E 195.67330296372907 165.63571214675903
D 98.98370486920629 165.63685011863708
E 188.77911083002442 165.96726417541504
D 87.2834486337581 166.07910418510437
E 188.0133057432169 166.29880475997925
D 87.62672852241208 166.30006790161133
D 86.1621415130132 166.40983152389526
D 85.6369828234692 166.62596583366394
D 84.74314157252279 166.73493313789368
E 181.36919130000166 166.7360281944275
E 181.25853708121414 166.73610734939575
D 89.83985162840351 166.84695863723755
D 89.88403826278552 166.8470480442047
E 194.11663508288413 166.96906900405884
E 178.28387622825718 167.5038707256317
E 174.2635821495674 167.50394701957703
E 187.26036592757367 167.85121965408325
E 187.43364025961262 167.8513000011444
D 85.83484478939219 167.94355988502502
E 186.20393208588158 167.94502186775208
E 186.30990640561686 167.9451460838318
E 191.04094221282122 168.06283140182495
D 91.33913874395441 168.0638747215271
E 190.24053785870674 168.2797040939331
E 190.07037295444206 168.27981519699097
E 195.27227059228503 168.38843393325806
E 189.71679189398594 168.50065183639526
D 91.47945982906106 168.74274230003357
D 91.80309578159122 168.74286460876465
E 188.932256069358 168.7445080280304
E 188.68465851169864 168.744699716568
D 82.17955689572285 168.83806610107422
D 82.09392085276387 168.8381688594818
E 182.11421977745854 168.83926606178284
E 181.1792714223771 168.8393576145172
E 185.62530622014972 168.94246649742126
E 184.05816731018206 168.94257473945618
D 85.7824962985298 168.94363164901733
D 86.36612682075658 168.9437563419342
D 86.91817364831319 169.0506989955902
D 87.45737554009976 169.05080127716064
E 188.03900629180143 169.05215001106262
E 188.0064510484587 169.05224680900574
D 95.02747687715134 169.15872144699097
D 94.97308439927247 169.1588053703308
D 83.00611051183569 169.2765347957611
E 181.13449826382748 169.2775900363922
D 90.83902121269948 169.38175797462463
E 188.10260525304608 169.38320088386536
D 97.85678320063704 169.49348521232605
E 195.09198792124073 169.4945890903473
E 191.584334377825 169.72398853302002
E 192.45236475976344 169.8175208568573
E 192.56624051364258 169.81760025024414
E 193.59405257578518 169.92816185951233
E 193.06698244712396 169.9282364845276
E 191.61829369706822 170.04578566551208
D 94.06799094930136 170.15078115463257
E 196.21323740426797 170.15195560455322
E 188.30454992398896 170.25987887382507
E 188.30198030279888 170.25997352600098
E 186.11491598082844 170.36735320091248
D 83.36198641574657 170.36843824386597
E 193.08145559321474 170.4788920879364
E 189.99038200876024 170.6002480983734
E 190.2397310264691 170.60034489631653
D 87.5062064326563 170.6015875339508
E 187.9141370061719 170.70256447792053
E 189.9664122397359 170.81585669517517
E 188.47956950546663 170.92613196372986
E 188.84641993054782 170.926260471344
D 89.99915390595592 170.927570104599
E 187.4169070922927 171.04147124290466
D 91.91371220342627 171.04265475273132
D 100.19082145094912 171.1365830898285
D 97.21420541627415 171.2536976337433
E 193.90379621319144 171.25469851493835
D 87.84308755506486 171.36192798614502
D 88.07380352106199 171.36205124855042
E 182.43528464801386 171.47079920768738
D 82.98836390933025 171.47194075584412
D 83.27505888332492 171.47203183174133
E 184.83601360569853 171.57999086380005
D 85.96002300500692 171.58275938034058
D 88.67935169093052 171.58291506767273
D 87.30136728128882 171.6904706954956
D 87.2906530444778 171.69054794311523
E 189.39833238372972 171.80395936965942
D 94.74409190777979 171.80542087554932
D 95.51604623522016 171.80555987358093
D 92.77914343554043 171.90889859199524
E 188.91287731782884 171.90991973876953
E 190.439843355149 172.02358222007751
